physician_id_hash,provider_name_first,provider_name_last,ordering_physician_dea_hash,specialty_code,network_participant
soiJz5IXCIup/J6RisbaIQ==,Kareen,Taper,soiJz5IXCIup/J6RisbaIQ==,N/A,false
qkOG3Q6sed6Gy161MyUZuQ==,Shanelle,Mingle,qkOG3Q6sed6Gy161MyUZuQ==,48,false
sg9igUPjmjmCb2Lgcp7HkQ==,Lelah,Servey,sg9igUPjmjmCb2Lgcp7HkQ==,86,false
CUu+wwismgJlozx2+ZU3zg==,Maurice,Mihelic,CUu+wwismgJlozx2+ZU3zg==,8,false
v73LfbaOl5jRjNYnaAFayw==,Georgine,Fickel,v73LfbaOl5jRjNYnaAFayw==,50,true
+YYElnkuyIAAVjlb4ZNx9A==,Beryl,Brisson,+YYElnkuyIAAVjlb4ZNx9A==,N/A,false
QqTu5ln2VouxoQQrGTw+iQ==,Jacqui,Ill,QqTu5ln2VouxoQQrGTw+iQ==,N/A,true
bRz0Uc28qooPrvO+f3tGbw==,Isela,Spader,bRz0Uc28qooPrvO+f3tGbw==,50,true
FybwyahJ1PtuWpQsPJrWtA==,Rosy,Aquino,FybwyahJ1PtuWpQsPJrWtA==,16,true
YPxpD/WmIULwfKPkRenzRg==,Retha,Eastham,YPxpD/WmIULwfKPkRenzRg==,11,false
aO2W+Jx5wHibElR+IHOB8A==,Geneva,Vanoy,aO2W+Jx5wHibElR+IHOB8A==,23,false
o0Gpv89SN1fQhTIdY+0B/A==,Marcelino,Pop,o0Gpv89SN1fQhTIdY+0B/A==,97,false
IkLrS4n8MkPzXt13VzSWmQ==,Ezequiel,Equiluz,IkLrS4n8MkPzXt13VzSWmQ==,25,false
qoT74fPMHXfFep7dMimeow==,Mariano,Larsen,qoT74fPMHXfFep7dMimeow==,22,false
7wA6RjFzzvj2FN8YRkBn3A==,Krista,Larita,7wA6RjFzzvj2FN8YRkBn3A==,N/A,false
fYENFwL0LdoDp4Eulo1SXw==,Sierra,Holsinger,fYENFwL0LdoDp4Eulo1SXw==,97,false
1xGa+ilranODxjR4Cx0kKw==,Charley,Schatzle,1xGa+ilranODxjR4Cx0kKw==,N/A,false
8ddJLB2Th+42M48Bs6IlYw==,Lasonya,Demos,8ddJLB2Th+42M48Bs6IlYw==,N/A,true
ENZ27MmTGM9NGJS/ATe3JA==,Ligia,Hannaway,ENZ27MmTGM9NGJS/ATe3JA==,50,false
9K9wpc/P7/rEQG9AUs/3Qg==,Darron,Kocher,9K9wpc/P7/rEQG9AUs/3Qg==,N/A,true
9o0tKP10rH88QRaP6pl/rg==,Val,Demichele,9o0tKP10rH88QRaP6pl/rg==,N/A,false
Bf+dBkjY3dEzf1dKjvc6xQ==,Reuben,Pekrul,Bf+dBkjY3dEzf1dKjvc6xQ==,N/A,false
EsyF+8rPs5JEPbNbVtUdAA==,Inell,Voeltner,EsyF+8rPs5JEPbNbVtUdAA==,N/A,true
RXYLBgQBy9VOWIN6n1Gxbg==,Noelia,Brandow,RXYLBgQBy9VOWIN6n1Gxbg==,N/A,false
Z8celnavNlziu7sPlrg7lw==,Gary,Gerveler,Z8celnavNlziu7sPlrg7lw==,16,true
4oFHD6BfIH1nn80oNKns4w==,Willetta,Francillon,4oFHD6BfIH1nn80oNKns4w==,50,false
LR65lIOPysnv8lsBhYh1bA==,Christine,Goosey,LR65lIOPysnv8lsBhYh1bA==,8,false
43D6MsD0H8JhJFY1tr/2RQ==,Lorilee,Gruenhagen,43D6MsD0H8JhJFY1tr/2RQ==,20,false
pcIImQ666VOrwzNGjBKg7Q==,Genny,Smotherman,pcIImQ666VOrwzNGjBKg7Q==,8,true
Vu4zJxzG6uwqI1gtotUQcg==,Bailey,Rozzelle,Vu4zJxzG6uwqI1gtotUQcg==,97,false
pKIFPXxtKi7wsU8oHrTH7A==,Winter,Agurs,pKIFPXxtKi7wsU8oHrTH7A==,46,true
o5Xo/9S2OAX2qKh2uHSFmQ==,Tama,Bensman,o5Xo/9S2OAX2qKh2uHSFmQ==,4,true
mPov0li6Q7F7Ojg9gs44AQ==,Woodrow,Mosquera,mPov0li6Q7F7Ojg9gs44AQ==,11,false
3vlueIMCm+vTC+sW44P4nw==,Katheleen,Demichiel,3vlueIMCm+vTC+sW44P4nw==,11,false
FhEc9/Nud9u9ZJ6OUyBV2g==,Dane,Klyce,FhEc9/Nud9u9ZJ6OUyBV2g==,99,false
f6+xEUO6URsgXYpCP+43Ig==,Nakesha,Sepvlieda,f6+xEUO6URsgXYpCP+43Ig==,66,true
pTkiOELmqdZaRVCFEuvUMg==,Palmer,Garretson,pTkiOELmqdZaRVCFEuvUMg==,41,false
8fS4D3oQO30VpyLII3NUFQ==,Terri,Posusta,8fS4D3oQO30VpyLII3NUFQ==,18,false
WZ3PXHATxDMmyrQAF4GElQ==,Pedro,Stoey,WZ3PXHATxDMmyrQAF4GElQ==,11,false
GtpGiBd5I1rb7UK3is1pCw==,Annemarie,Malcomson,GtpGiBd5I1rb7UK3is1pCw==,50,false
XpTLIGDPH+P8cx0aiHuKGg==,Douglas,Reznicek,XpTLIGDPH+P8cx0aiHuKGg==,86,false
IYZTitZLSqVBnLHtluDCkg==,Keira,Winegarden,IYZTitZLSqVBnLHtluDCkg==,41,false
uJYyYSc/Ezo3/E8Y23Nfig==,Windy,Savcedo,uJYyYSc/Ezo3/E8Y23Nfig==,86,false
i2fQgLl+eowCaxZTFmw2Xg==,Gudrun,Ferrufino,i2fQgLl+eowCaxZTFmw2Xg==,97,false
SgSalt4LLdjPqjpHIOcUcg==,Jae,Gamino,SgSalt4LLdjPqjpHIOcUcg==,8,true
nWWBteK8A7EC+B4XyVcf0A==,Rosia,Zickler,nWWBteK8A7EC+B4XyVcf0A==,50,true
XYNk71KsBGw5N7rjl3tOOw==,Pattie,Dahn,XYNk71KsBGw5N7rjl3tOOw==,8,true
r9f4YvryipLVZQaDE4+73Q==,Vivian,Finchman,r9f4YvryipLVZQaDE4+73Q==,N/A,false
Ia4oxNdjHpDLaOiUHQRoNQ==,Cornell,Melena,Ia4oxNdjHpDLaOiUHQRoNQ==,20,false
26fMbN0T4AF5q8sZRlzKUg==,Melynda,Weavers,26fMbN0T4AF5q8sZRlzKUg==,97,false
uV7m6RXAm1I1SPnJEEsJXg==,Larry,Puetz,uV7m6RXAm1I1SPnJEEsJXg==,97,false
JJkAKnx0aS+Nv8SC+Ovn/g==,Bong,Dufficy,JJkAKnx0aS+Nv8SC+Ovn/g==,2,false
KUCUePDPefYr8YYhWBL/Qw==,Stacey,Eichberg,KUCUePDPefYr8YYhWBL/Qw==,50,false
vExEvBjz9RFS/uD4YXkw5Q==,Janina,Manfra,vExEvBjz9RFS/uD4YXkw5Q==,82,false
exVNnA+YjthlKPUVO9VWRA==,Tiera,Boreen,exVNnA+YjthlKPUVO9VWRA==,8,true
lvS6pfi3oRYffZWznDJvSw==,Maya,Galinoo,lvS6pfi3oRYffZWznDJvSw==,16,false
3+4LU8VqexPU62LzG5JgWg==,Johna,Merlo,3+4LU8VqexPU62LzG5JgWg==,N/A,false
UwGg2ceKb8WFooVMVAeUsw==,Peter,Keenan,UwGg2ceKb8WFooVMVAeUsw==,93,true
p9U+BaOnL/QleOK37zif3Q==,Carolin,Marchena,p9U+BaOnL/QleOK37zif3Q==,3,true
TbES8iLtnuK8L0zlDRjJqA==,Michele,Mindingall,TbES8iLtnuK8L0zlDRjJqA==,50,false
62mGiOwhcdA382U9bBkw4g==,Jules,Hober,62mGiOwhcdA382U9bBkw4g==,N/A,false
pAVVTiEZ09K2zrQzx0q9zw==,Warner,Riggott,pAVVTiEZ09K2zrQzx0q9zw==,50,false
arr7nUhJjZrjEBKxRwzMFQ==,Jame,Dowden,arr7nUhJjZrjEBKxRwzMFQ==,29,true
