physician_id_hash,provider_name_first,provider_name_last,ordering_physician_dea_hash,specialty_code,network_participant
1003000407,Joelle,Grossack,1003000407,8,true
1003002932,Johnny,Muskett,1003002932,93,false
1003007592,Hayden,Wonnacott,1003007592,97,false
1003013582,Dominque,Garguilo,1003013582,8,false
1003016957,Anastacia,Libke,1003016957,11,false
1003019571,Nyla,Litter,1003019571,82,true
1003019811,Margarita,Fansher,1003019811,86,true
1003021734,Reinaldo,Shiminski,1003021734,N/A,false
1003027194,Gaston,Escutia,1003027194,11,false
1003034455,Heriberto,Mccarther,1003034455,11,true
1003041005,Lakeisha,Union,1003041005,93,true
1003043555,Jenelle,Royalty,1003043555,8,false
1003056524,Khalilah,Lock,1003056524,11,false
1003060740,Yoko,Bent,1003060740,8,true
1003063348,Lenora,Augenstein,1003063348,66,true
1003078478,Mayme,Quamme,1003078478,N/A,false
1003079773,Dia,Zirkles,1003079773,7,false
1003079914,Cameron,Glaza,1003079914,11,true
1003084955,Deedra,Dina,1003084955,50,true
1003090911,Ara,Lippitt,1003090911,2,false
1003104233,Christy,Shadwick,1003104233,97,false
1003105362,Devin,Bourdages,1003105362,50,false
1003108176,Morris,Fabozzi,1003108176,97,false
1003118076,Phuong,Blakeborough,1003118076,16,false
1003119447,Lavenia,Seigfried,1003119447,97,false
1003138868,Richie,Mynear,1003138868,92,true
1003147208,Mercedes,Strathy,1003147208,N/A,false
1003152968,Joycelyn,Standley,1003152968,97,false
1003153156,Shellie,Mclernon,1003153156,N/A,false
1003156381,Dionne,Caguimbal,1003156381,2,false
1003165598,Racheal,Crowther,1003165598,50,false
1003169350,Edith,Catt,1003169350,97,false
1003178245,Kaycee,Rafi,1003178245,N/A,false
1003179078,Shalanda,Helaire,1003179078,8,true
1003189093,Mahalia,Kotarski,1003189093,50,false
1003194515,Randall,Canul,1003194515,11,true
1003206251,Lauri,Kopple,1003206251,97,false
1003210758,Vinnie,Flitt,1003210758,97,false
1003213901,Janella,Vanderkooi,1003213901,50,false
1003222084,Huey,Tufnell,1003222084,N/A,false
1003229402,Emilia,Nolie,1003229402,8,false
1003234451,Garnett,Demeglio,1003234451,N/A,false
1003234709,Nathanial,Fauerbach,1003234709,N/A,false
1003243213,Consuela,Meskill,1003243213,N/A,false
1003251620,Reagan,Vowels,1003251620,8,false
1003254822,Daria,Lauw,1003254822,20,false
1003259342,Marlo,Saathoff,1003259342,N/A,true
1003263302,Wesley,Seckler,1003263302,97,false
1003276254,Tyrell,Stopp,1003276254,N/A,false
1003278011,Aleida,Prial,1003278011,N/A,false
1003282609,Siu,Kammler,1003282609,97,false
1003283193,Gayla,Macquarrie,1003283193,97,false
1003290404,Jaqueline,Michales,1003290404,50,true
1003296245,Fatima,Hadges,1003296245,8,false
1003363839,Otis,Mech,1003363839,50,false
1003801168,Alexandria,Brindle,1003801168,50,false
1003801176,Samuel,Luedtke,1003801176,18,false
1003802364,Reanna,Redal,1003802364,66,true
1003802851,Consuela,Fosselman,1003802851,93,true
1003804162,Celestina,Lizak,1003804162,11,false
1003807546,Sylvie,Juniper,1003807546,11,false
1003807553,Astrid,Frayne,1003807553,41,false
1003809799,Edwardo,Jaji,1003809799,66,true
1003810599,Kiley,Wallis,1003810599,2,true
1003811126,Jacquetta,Stouder,1003811126,41,false
1003812751,Edwin,Lindig,1003812751,93,true
1003812843,Vivan,Harley,1003812843,11,true
1003813130,Jamila,Crowson,1003813130,39,true
1003813452,Ira,Waldecker,1003813452,86,true
1003814559,Carmon,Ferriolo,1003814559,41,false
1003817511,Mitch,Ondic,1003817511,39,false
1003832775,Lorina,Doakes,1003832775,8,false
1003834581,Clay,Lehnortt,1003834581,29,false
1003835737,Angelo,Laub,1003835737,29,true
1003836511,Valentina,Wyble,1003836511,86,false
1003837634,Idalia,Belkin,1003837634,30,false
1003840513,Charlott,Bloss,1003840513,11,false
1003842220,Lyndsay,Fudala,1003842220,18,true
1003846551,Shaquita,Tegenkamp,1003846551,8,false
1003847344,Windy,Eastlund,1003847344,N/A,false
1003849977,Scott,Cotney,1003849977,25,false
1003850900,Lucina,Nesmith,1003850900,16,false
1003851213,Louann,Garrean,1003851213,11,false
1003851916,Myong,Yoneda,1003851916,86,false
1003858077,Marylouise,Cisco,1003858077,2,false
1003865312,Marylynn,Hiersche,1003865312,44,false
1003866641,Reatha,Reiners,1003866641,N/A,false
1003868159,Verena,Brightful,1003868159,92,true
1003870585,Brittani,Hoschander,1003870585,8,false
1003872813,Louie,Andreassen,1003872813,2,false
1003877358,Leanne,Mortland,1003877358,N/A,false
1003878315,Stephanie,Mauleon,1003878315,N/A,false
1003878869,Roger,Gamero,1003878869,11,false
1003879149,Telma,Vanhorn,1003879149,48,false
1003879172,Lorena,Bartoli,1003879172,34,false
1003880444,Chun,Luci,1003880444,N/A,true
1003880469,Arletha,Hoth,1003880469,82,true
1003881152,Laverna,Wafford,1003881152,N/A,true
1003881731,Gerry,Lehan,1003881731,11,true
1003882325,Suzanna,Alderman,1003882325,29,true
1003882853,Aura,Hirsh,1003882853,N/A,false
1003885120,Karla,Paseur,1003885120,48,false
1003886706,Sharri,Agresto,1003886706,11,false
1003887464,Domenica,Schronce,1003887464,11,true
1003887761,Art,Difalco,1003887761,11,false
1003888405,Delora,Fluck,1003888405,48,false
1003889858,Corene,Kowis,1003889858,11,true
1003889916,Edmond,Chudej,1003889916,N/A,true
1003892647,Margareta,Trindle,1003892647,N/A,false
1003895046,Joey,Venzor,1003895046,18,false
1003897265,Stuart,Greminger,1003897265,N/A,true
1003897596,Jerri,Nigro,1003897596,N/A,false
1003898115,Antonio,Enock,1003898115,N/A,false
1003899543,Rosalia,Szwede,1003899543,86,true
1003905373,Rona,Kaina,1003905373,N/A,false
1003908203,Hanh,Bejarano,1003908203,N/A,false
1003911512,Meagan,Medland,1003911512,86,true
1003914078,Kimiko,Ternullo,1003914078,N/A,false
1003918640,Jamila,Varano,1003918640,50,false
1003923939,Sharonda,Calwell,1003923939,N/A,false
1003934613,Margarite,Barret,1003934613,37,false
1003940222,Berna,Diemer,1003940222,50,false
1003942061,Annett,Zoutte,1003942061,97,false
1003952722,Lynetta,Pettingill,1003952722,41,false
1003955188,Luci,Riggin,1003955188,50,false
1003983065,Wilson,Rattell,1003983065,11,true
1003992876,Alpha,Grassl,1003992876,25,false
1003993007,Mandi,Ashenfelter,1003993007,50,false
1003995218,Dwayne,Hicks,1003995218,23,false
1013004464,Sydney,Aylock,1013004464,N/A,false
1013006634,Melina,Ritzel,1013006634,97,false
1013010271,Aiko,Servis,1013010271,11,true
1013015890,Raeann,Zegarelli,1013015890,50,false
1013017029,Lauretta,Hacher,1013017029,93,true
1013020569,Shara,Vein,1013020569,48,false
1013021443,Kandis,Shanholtzer,1013021443,N/A,false
1013036060,Christopher,Brewster,1013036060,66,true
1013038850,Rachal,Bertram,1013038850,86,false
1013052216,Elwood,Franchini,1013052216,82,true
1013068097,Noble,Murri,1013068097,86,true
